Title,Description,Price,Ingredients,Nutrient,Col1,Col2,Col3,Col4,url
Sainsbury's Egg Custard Tarts 2x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.00,"INGREDIENTS:British Cows'Milk,Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes,  Salt.",Protein,6.6g,5.3g,11%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
Sainsbury's Egg Custard Tarts 2x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.00,"INGREDIENTS:British Cows'Milk,Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes,  Salt.",Salt,0.16g,0.13g,2%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
Header Information,,,,Typical Values,Per 100g,Per mini roll,% based on RI for Average Adult,,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-chocolate-mini-rolls-x10
Sainsbury's Chocolate Mini Rolls Cakes x10,Chocolate flavoured mini rolls filled with a vanilla flavour filling covered in milk chocolate,£1.15,"INGREDIENTS:Vanilla Flavour Filling (30%) (Icing Sugar, Vegetable Oils (Rapeseed Oil, Palm Stearin), Glucose Syrup, Water, Humectant: Vegetable Glycerine; Acidity Regulator: Citric Acid; Preservative: Potassium Sorbate; Sugar, Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids; Flavouring), Milk Chocolate (30%) (Sugar, Cocoa Butter, Cocoa Liquor, Dried Skimmed Cows'MilkPowder, Cows'MilkFat, Shea Oil, Palm Oil, Sal Fat, Emulsifiers:Soya Lecithin, Polyglycerol Polyricinoleate; Flavouring), Sugar, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), PasteurisedEgg, Humectant: Vegetable Glycerine; Glucose Syrup, Fat Reduced Cocoa Powder, Water, Whey Powder (Cows'Milk),SoyaFlour, Vegetable Oils (Rapeseed Oil, Palm Stearin), Raising Agents: Disodium Diphosphate, Sodium Carbonate; Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids,SoyaLecithin; Salt, Preservative: Potassium Sorbate; Milk Protein Concentrate (Cows'Milk).",Energy,1858kJ,498kJ,-,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-chocolate-mini-rolls-x10
Sainsbury's Chocolate Mini Rolls Cakes x10,Chocolate flavoured mini rolls filled with a vanilla flavour filling covered in milk chocolate,£1.15,"INGREDIENTS:Vanilla Flavour Filling (30%) (Icing Sugar, Vegetable Oils (Rapeseed Oil, Palm Stearin), Glucose Syrup, Water, Humectant: Vegetable Glycerine; Acidity Regulator: Citric Acid; Preservative: Potassium Sorbate; Sugar, Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids; Flavouring), Milk Chocolate (30%) (Sugar, Cocoa Butter, Cocoa Liquor, Dried Skimmed Cows'MilkPowder, Cows'MilkFat, Shea Oil, Palm Oil, Sal Fat, Emulsifiers:Soya Lecithin, Polyglycerol Polyricinoleate; Flavouring), Sugar, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), PasteurisedEgg, Humectant: Vegetable Glycerine; Glucose Syrup, Fat Reduced Cocoa Powder, Water, Whey Powder (Cows'Milk),SoyaFlour, Vegetable Oils (Rapeseed Oil, Palm Stearin), Raising Agents: Disodium Diphosphate, Sodium Carbonate; Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids,SoyaLecithin; Salt, Preservative: Potassium Sorbate; Milk Protein Concentrate (Cows'Milk).",Fat,21.0g,5.6g,8%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-chocolate-mini-rolls-x10
Sainsbury's Chocolate Mini Rolls Cakes x10,Chocolate flavoured mini rolls filled with a vanilla flavour filling covered in milk chocolate,£1.15,"INGREDIENTS:Vanilla Flavour Filling (30%) (Icing Sugar, Vegetable Oils (Rapeseed Oil, Palm Stearin), Glucose Syrup, Water, Humectant: Vegetable Glycerine; Acidity Regulator: Citric Acid; Preservative: Potassium Sorbate; Sugar, Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids; Flavouring), Milk Chocolate (30%) (Sugar, Cocoa Butter, Cocoa Liquor, Dried Skimmed Cows'MilkPowder, Cows'MilkFat, Shea Oil, Palm Oil, Sal Fat, Emulsifiers:Soya Lecithin, Polyglycerol Polyricinoleate; Flavouring), Sugar, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), PasteurisedEgg, Humectant: Vegetable Glycerine; Glucose Syrup, Fat Reduced Cocoa Powder, Water, Whey Powder (Cows'Milk),SoyaFlour, Vegetable Oils (Rapeseed Oil, Palm Stearin), Raising Agents: Disodium Diphosphate, Sodium Carbonate; Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids,SoyaLecithin; Salt, Preservative: Potassium Sorbate; Milk Protein Concentrate (Cows'Milk).",Saturates,10.6g,2.8g,14%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-chocolate-mini-rolls-x10
Sainsbury's Chocolate Mini Rolls Cakes x10,Chocolate flavoured mini rolls filled with a vanilla flavour filling covered in milk chocolate,£1.15,"INGREDIENTS:Vanilla Flavour Filling (30%) (Icing Sugar, Vegetable Oils (Rapeseed Oil, Palm Stearin), Glucose Syrup, Water, Humectant: Vegetable Glycerine; Acidity Regulator: Citric Acid; Preservative: Potassium Sorbate; Sugar, Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids; Flavouring), Milk Chocolate (30%) (Sugar, Cocoa Butter, Cocoa Liquor, Dried Skimmed Cows'MilkPowder, Cows'MilkFat, Shea Oil, Palm Oil, Sal Fat, Emulsifiers:Soya Lecithin, Polyglycerol Polyricinoleate; Flavouring), Sugar, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), PasteurisedEgg, Humectant: Vegetable Glycerine; Glucose Syrup, Fat Reduced Cocoa Powder, Water, Whey Powder (Cows'Milk),SoyaFlour, Vegetable Oils (Rapeseed Oil, Palm Stearin), Raising Agents: Disodium Diphosphate, Sodium Carbonate; Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids,SoyaLecithin; Salt, Preservative: Potassium Sorbate; Milk Protein Concentrate (Cows'Milk).",Carbohydrate,57.2g,15.3g,6%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-chocolate-mini-rolls-x10
Sainsbury's Chocolate Mini Rolls Cakes x10,Chocolate flavoured mini rolls filled with a vanilla flavour filling covered in milk chocolate,£1.15,"INGREDIENTS:Vanilla Flavour Filling (30%) (Icing Sugar, Vegetable Oils (Rapeseed Oil, Palm Stearin), Glucose Syrup, Water, Humectant: Vegetable Glycerine; Acidity Regulator: Citric Acid; Preservative: Potassium Sorbate; Sugar, Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids; Flavouring), Milk Chocolate (30%) (Sugar, Cocoa Butter, Cocoa Liquor, Dried Skimmed Cows'MilkPowder, Cows'MilkFat, Shea Oil, Palm Oil, Sal Fat, Emulsifiers:Soya Lecithin, Polyglycerol Polyricinoleate; Flavouring), Sugar, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), PasteurisedEgg, Humectant: Vegetable Glycerine; Glucose Syrup, Fat Reduced Cocoa Powder, Water, Whey Powder (Cows'Milk),SoyaFlour, Vegetable Oils (Rapeseed Oil, Palm Stearin), Raising Agents: Disodium Diphosphate, Sodium Carbonate; Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids,SoyaLecithin; Salt, Preservative: Potassium Sorbate; Milk Protein Concentrate (Cows'Milk).",Sugars,43.4g,11.6g,13%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-chocolate-mini-rolls-x10
Sainsbury's Chocolate Mini Rolls Cakes x10,Chocolate flavoured mini rolls filled with a vanilla flavour filling covered in milk chocolate,£1.15,"INGREDIENTS:Vanilla Flavour Filling (30%) (Icing Sugar, Vegetable Oils (Rapeseed Oil, Palm Stearin), Glucose Syrup, Water, Humectant: Vegetable Glycerine; Acidity Regulator: Citric Acid; Preservative: Potassium Sorbate; Sugar, Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids; Flavouring), Milk Chocolate (30%) (Sugar, Cocoa Butter, Cocoa Liquor, Dried Skimmed Cows'MilkPowder, Cows'MilkFat, Shea Oil, Palm Oil, Sal Fat, Emulsifiers:Soya Lecithin, Polyglycerol Polyricinoleate; Flavouring), Sugar, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), PasteurisedEgg, Humectant: Vegetable Glycerine; Glucose Syrup, Fat Reduced Cocoa Powder, Water, Whey Powder (Cows'Milk),SoyaFlour, Vegetable Oils (Rapeseed Oil, Palm Stearin), Raising Agents: Disodium Diphosphate, Sodium Carbonate; Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids,SoyaLecithin; Salt, Preservative: Potassium Sorbate; Milk Protein Concentrate (Cows'Milk).",Protein,5.1g,1.4g,3%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-chocolate-mini-rolls-x10
Sainsbury's Chocolate Mini Rolls Cakes x10,Chocolate flavoured mini rolls filled with a vanilla flavour filling covered in milk chocolate,£1.15,"INGREDIENTS:Vanilla Flavour Filling (30%) (Icing Sugar, Vegetable Oils (Rapeseed Oil, Palm Stearin), Glucose Syrup, Water, Humectant: Vegetable Glycerine; Acidity Regulator: Citric Acid; Preservative: Potassium Sorbate; Sugar, Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids; Flavouring), Milk Chocolate (30%) (Sugar, Cocoa Butter, Cocoa Liquor, Dried Skimmed Cows'MilkPowder, Cows'MilkFat, Shea Oil, Palm Oil, Sal Fat, Emulsifiers:Soya Lecithin, Polyglycerol Polyricinoleate; Flavouring), Sugar, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), PasteurisedEgg, Humectant: Vegetable Glycerine; Glucose Syrup, Fat Reduced Cocoa Powder, Water, Whey Powder (Cows'Milk),SoyaFlour, Vegetable Oils (Rapeseed Oil, Palm Stearin), Raising Agents: Disodium Diphosphate, Sodium Carbonate; Emulsifiers: Polyglycerol Esters of Fatty Acids, Mono- and Diglycerides of Fatty Acids,SoyaLecithin; Salt, Preservative: Potassium Sorbate; Milk Protein Concentrate (Cows'Milk).",Salt,0.42g,0.11g,2%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-chocolate-mini-rolls-x10
