Title,Description,Price,Ingredients,Nutrient,Col1,Col2,Col3,Col4,url
Header Information,,,,Typical Values,per 100g,per tart,% based on RI for Average Adult,,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Sainsbury's Egg Custard Tarts 4x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.40,"INGREDIENTS:BritishCows'Milk, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes; Salt.",Energy,1157kJ,938kJ,-,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Sainsbury's Egg Custard Tarts 4x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.40,"INGREDIENTS:BritishCows'Milk, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes; Salt.",Fat,11.7g,9.5g,14%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Sainsbury's Egg Custard Tarts 4x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.40,"INGREDIENTS:BritishCows'Milk, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes; Salt.",Saturates,5.2g,4.2g,21%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Sainsbury's Egg Custard Tarts 4x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.40,"INGREDIENTS:BritishCows'Milk, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes; Salt.",Mono-unsaturates,4.4g,3.6g,-,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Sainsbury's Egg Custard Tarts 4x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.40,"INGREDIENTS:BritishCows'Milk, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes; Salt.",Polyunsaturates,1.1g,0.9g,-,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Sainsbury's Egg Custard Tarts 4x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.40,"INGREDIENTS:BritishCows'Milk, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes; Salt.",Carbohydrate,35.7g,28.9g,11%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Sainsbury's Egg Custard Tarts 4x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.40,"INGREDIENTS:BritishCows'Milk, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes; Salt.",Sugars,14.4g,11.7g,13%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Sainsbury's Egg Custard Tarts 4x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.40,"INGREDIENTS:BritishCows'Milk, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes; Salt.",Starch,21.3g,17.2g,-,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Sainsbury's Egg Custard Tarts 4x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.40,"INGREDIENTS:BritishCows'Milk, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes; Salt.",Fibre,0.7g,0.5g,-,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Sainsbury's Egg Custard Tarts 4x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.40,"INGREDIENTS:BritishCows'Milk, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes; Salt.",Protein,6.6g,5.3g,11%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Sainsbury's Egg Custard Tarts 4x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.40,"INGREDIENTS:BritishCows'Milk, Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes; Salt.",Salt,0.16g,0.13g,2%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-x4
Header Information,,,,,Per 100g,Per bakewell (46g),,,https://www.sainsburys.co.uk/gol-ui/product/mr-kipling-cherry-bakewells-x6
Mr Kipling Cherry Bakewells Cakes x6,Mr Kipling Cherry Bakewells,£3.00,"WheatFlour (with added Calcium, Iron, Niacin, Thiamin),  Sugar,  Vegetable Oils (Palm, Rapeseed),  Plum and Raspberry Jam (Glucose-Fructose Syrup, Plum Purée, Sugar, Raspberry Purée, Gelling Agent (Pectin), Acid (Citric Acid), Acidity Regulator (Sodium Citrates), Colour (Anthocyanins), Preservative (Potassium Sorbate), Flavouring),  Glucose Syrup,  Glacé Cherries (Cherries, Sugar, Acidity Regulator (Citric Acid), Preservatives (Potassium Sorbate,Sulphur Dioxide), Colour (Carmine)),  Icing Sugar,  Ground Rice,  Desiccated Coconut,  Whey Powder (Milk),  SkimmedMilkPowder,  DriedEggWhite,  GroundAlmonds,  Salt,  Dextrose,  Emulsifiers (Sorbitan Monostearate, Polysorbate 60),  Raising Agents (Disodium Diphosphate, Sodium Bicarbonate),  Humectant (Vegetable Glycerine),  Flavouring",Energy,1826kJ,850kJ,N/A,N/A,https://www.sainsburys.co.uk/gol-ui/product/mr-kipling-cherry-bakewells-x6
Mr Kipling Cherry Bakewells Cakes x6,Mr Kipling Cherry Bakewells,£3.00,"WheatFlour (with added Calcium, Iron, Niacin, Thiamin),  Sugar,  Vegetable Oils (Palm, Rapeseed),  Plum and Raspberry Jam (Glucose-Fructose Syrup, Plum Purée, Sugar, Raspberry Purée, Gelling Agent (Pectin), Acid (Citric Acid), Acidity Regulator (Sodium Citrates), Colour (Anthocyanins), Preservative (Potassium Sorbate), Flavouring),  Glucose Syrup,  Glacé Cherries (Cherries, Sugar, Acidity Regulator (Citric Acid), Preservatives (Potassium Sorbate,Sulphur Dioxide), Colour (Carmine)),  Icing Sugar,  Ground Rice,  Desiccated Coconut,  Whey Powder (Milk),  SkimmedMilkPowder,  DriedEggWhite,  GroundAlmonds,  Salt,  Dextrose,  Emulsifiers (Sorbitan Monostearate, Polysorbate 60),  Raising Agents (Disodium Diphosphate, Sodium Bicarbonate),  Humectant (Vegetable Glycerine),  Flavouring",Fat,17.4g,8.1g,N/A,N/A,https://www.sainsburys.co.uk/gol-ui/product/mr-kipling-cherry-bakewells-x6
Mr Kipling Cherry Bakewells Cakes x6,Mr Kipling Cherry Bakewells,£3.00,"WheatFlour (with added Calcium, Iron, Niacin, Thiamin),  Sugar,  Vegetable Oils (Palm, Rapeseed),  Plum and Raspberry Jam (Glucose-Fructose Syrup, Plum Purée, Sugar, Raspberry Purée, Gelling Agent (Pectin), Acid (Citric Acid), Acidity Regulator (Sodium Citrates), Colour (Anthocyanins), Preservative (Potassium Sorbate), Flavouring),  Glucose Syrup,  Glacé Cherries (Cherries, Sugar, Acidity Regulator (Citric Acid), Preservatives (Potassium Sorbate,Sulphur Dioxide), Colour (Carmine)),  Icing Sugar,  Ground Rice,  Desiccated Coconut,  Whey Powder (Milk),  SkimmedMilkPowder,  DriedEggWhite,  GroundAlmonds,  Salt,  Dextrose,  Emulsifiers (Sorbitan Monostearate, Polysorbate 60),  Raising Agents (Disodium Diphosphate, Sodium Bicarbonate),  Humectant (Vegetable Glycerine),  Flavouring",of which Saturates,7.2g,3.4g,N/A,N/A,https://www.sainsburys.co.uk/gol-ui/product/mr-kipling-cherry-bakewells-x6
